Lugar de residencia;Medida;Valor;
Almería;Población;716820;
Almería;Confirmados total;579;
Almería;Defunciones total;48;
Almería;Confirmados < 14 días;119;
Almería (distrito);Población;301623;
Almería (distrito);Confirmados total;267;
Almería (distrito);Defunciones total;14;
Almería (distrito);Confirmados < 14 días;79;
Almería (capital);Población;198533;
Almería (capital);Confirmados total;201;
Almería (capital);Defunciones total;8;
Almería (capital);Confirmados < 14 días;62;
Alboloduy;Población;616;
Alboloduy;Confirmados total;;
Alboloduy;Defunciones total;;
Alboloduy;Confirmados < 14 días;;
Alhabia;Población;671;
Alhabia;Confirmados total;2;
Alhabia;Defunciones total;;
Alhabia;Confirmados < 14 días;2;
Alhama de Almería;Población;3641;
Alhama de Almería;Confirmados total;1;
Alhama de Almería;Defunciones total;;
Alhama de Almería;Confirmados < 14 días;0;
Alicún;Población;206;
Alicún;Confirmados total;;
Alicún;Defunciones total;;
Alicún;Confirmados < 14 días;;
Almócita;Población;169;
Almócita;Confirmados total;1;
Almócita;Defunciones total;1;
Almócita;Confirmados < 14 días;0;
Alsodux;Población;125;
Alsodux;Confirmados total;;
Alsodux;Defunciones total;;
Alsodux;Confirmados < 14 días;;
Beires;Población;110;
Beires;Confirmados total;;
Beires;Defunciones total;;
Beires;Confirmados < 14 días;;
Bentarique;Población;238;
Bentarique;Confirmados total;;
Bentarique;Defunciones total;;
Bentarique;Confirmados < 14 días;;
Canjáyar;Población;1214;
Canjáyar;Confirmados total;1;
Canjáyar;Defunciones total;;
Canjáyar;Confirmados < 14 días;1;
Huécija;Población;480;
Huécija;Confirmados total;;
Huécija;Defunciones total;;
Huécija;Confirmados < 14 días;;
Íllar;Población;394;
Íllar;Confirmados total;26;
Íllar;Defunciones total;2;
Íllar;Confirmados < 14 días;3;
Instinción;Población;448;
Instinción;Confirmados total;1;
Instinción;Defunciones total;;
Instinción;Confirmados < 14 días;1;
Ohanes;Población;580;
Ohanes;Confirmados total;;
Ohanes;Defunciones total;;
Ohanes;Confirmados < 14 días;;
Padules;Población;410;
Padules;Confirmados total;;
Padules;Defunciones total;;
Padules;Confirmados < 14 días;;
Rágol;Población;316;
Rágol;Confirmados total;;
Rágol;Defunciones total;;
Rágol;Confirmados < 14 días;;
Santa Cruz de Marchena;Población;208;
Santa Cruz de Marchena;Confirmados total;;
Santa Cruz de Marchena;Defunciones total;;
Santa Cruz de Marchena;Confirmados < 14 días;;
Terque;Población;377;
Terque;Confirmados total;;
Terque;Defunciones total;;
Terque;Confirmados < 14 días;;
Benahadux;Población;4382;
Benahadux;Confirmados total;2;
Benahadux;Defunciones total;;
Benahadux;Confirmados < 14 días;0;
Gádor;Población;3012;
Gádor;Confirmados total;1;
Gádor;Defunciones total;;
Gádor;Confirmados < 14 días;0;
Huércal de Almería;Población;17651;
Huércal de Almería;Confirmados total;10;
Huércal de Almería;Defunciones total;1;
Huércal de Almería;Confirmados < 14 días;4;
Pechina;Población;4037;
Pechina;Confirmados total;2;
Pechina;Defunciones total;;
Pechina;Confirmados < 14 días;1;
Rioja;Población;1417;
Rioja;Confirmados total;;
Rioja;Defunciones total;;
Rioja;Confirmados < 14 días;;
Santa Fe de Mondújar;Población;452;
Santa Fe de Mondújar;Confirmados total;;
Santa Fe de Mondújar;Defunciones total;;
Santa Fe de Mondújar;Confirmados < 14 días;;
Viator;Población;5885;
Viator;Confirmados total;2;
Viator;Defunciones total;;
Viator;Confirmados < 14 días;0;
Carboneras;Población;8004;
Carboneras;Confirmados total;2;
Carboneras;Defunciones total;;
Carboneras;Confirmados < 14 días;2;
Níjar;Población;30663;
Níjar;Confirmados total;7;
Níjar;Defunciones total;1;
Níjar;Confirmados < 14 días;3;
Abla;Población;1249;
Abla;Confirmados total;;
Abla;Defunciones total;;
Abla;Confirmados < 14 días;;
Abrucena;Población;1202;
Abrucena;Confirmados total;;
Abrucena;Defunciones total;;
Abrucena;Confirmados < 14 días;;
Fiñana;Población;1994;
Fiñana;Confirmados total;;
Fiñana;Defunciones total;;
Fiñana;Confirmados < 14 días;;
Gérgal;Población;1030;
Gérgal;Confirmados total;2;
Gérgal;Defunciones total;1;
Gérgal;Confirmados < 14 días;0;
Nacimiento;Población;495;
Nacimiento;Confirmados total;;
Nacimiento;Defunciones total;;
Nacimiento;Confirmados < 14 días;;
Olula de Castro;Población;196;
Olula de Castro;Confirmados total;;
Olula de Castro;Defunciones total;;
Olula de Castro;Confirmados < 14 días;;
Tres Villas (Las);Población;568;
Tres Villas (Las);Confirmados total;2;
Tres Villas (Las);Defunciones total;;
Tres Villas (Las);Confirmados < 14 días;0;
Benizalón;Población;254;
Benizalón;Confirmados total;;
Benizalón;Defunciones total;;
Benizalón;Confirmados < 14 días;;
Lubrín;Población;1477;
